,station_id,station_nom,diff_mean,station_capacity,Coordonnées géographiques,lat,lon,mecanique_dispo_nb,electrique_dispo_nb,mecanique_ratio,electrique_ratio
30,10033,Gare du Nord - Saint-Vincent de Paul,-205,24,"48.88095574164779,2.352430514838522",48.88095574164779,2.352430514838522,0,3,0.0,1.0
31,10034,Louis Blanc - La Chapelle,14,21,"48.88400896451429,2.3599335551261906",48.88400896451429,2.3599335551261906,0,0,,
32,10036,Aqueduc - Villette,5,28,"48.883886063895396,2.36719880331497",48.883886063895396,2.36719880331497,3,2,0.6,0.4
33,10037,Quai de Valmy,-13,26,"48.88126951579429,2.368186041712761",48.88126951579429,2.368186041712761,1,2,0.33,0.67
34,10038,Place du Colonel Fabien,29,27,"48.8775683208602,2.369879186153412",48.8775683208602,2.369879186153412,2,2,0.5,0.5
35,10039,Sambre et Meuse - Villette,-9,25,"48.87440566621717,2.373807237995119",48.87440566621717,2.373807237995119,0,2,0.0,1.0
36,10041,Gare du Nord - La Chapelle,-60,18,"48.884178287285735,2.3561057075858116",48.884178287285735,2.3561057075858116,1,1,0.5,0.5
37,1006,Grande Truanderie - Saint-Denis,173,33,"48.8626302,2.3498075",48.8626302,2.3498075,15,15,0.5,0.5
38,1007,Turbigo - Française,85,16,"48.86358858111446,2.3477794602513313",48.86358858111446,2.3477794602513313,12,3,0.8,0.2
39,1008,Les Halles - Saint-Eustache,39,32,"48.86362695901683,2.342623919248581",48.86362695901683,2.342623919248581,15,15,0.5,0.5
40,10105,Mazagran - Bonne Nouvelle,39,25,"48.870047123655254,2.351124845445156",48.870047123655254,2.351124845445156,5,1,0.83,0.17
41,10107,Gare du Nord - Hôpital Lariboisière,-156,49,"48.881949,2.352339",48.881949,2.352339,1,2,0.33,0.67
42,10110,Louis Blanc - Jemmapes,-25,31,"48.879330755297346,2.368448562920093",48.879330755297346,2.368448562920093,0,2,0.0,1.0
43,10113,Parmentier - Hôpital Saint-Louis,-41,43,"48.87137987425661,2.369896383666685",48.87137987425661,2.369896383666685,1,2,0.33,0.67
44,10114,Granges aux Belles - Hôpital Saint-Louis,59,60,"48.874794994841274,2.366669436984963",48.874794994841274,2.366669436984963,7,4,0.64,0.36
45,10115,Granges aux Belles,-61,27,"48.8761373390584,2.3680844979417",48.8761373390584,2.3680844979417,3,2,0.6,0.4
46,1012,Jean-Jacques Rousseau - Deux Ecus,28,22,"48.86297805972131,2.3414635285735126",48.86297805972131,2.3414635285735126,16,5,0.76,0.24
47,1013,Place du Palais Royal,92,67,"48.862382970646635,2.33848225325346",48.862382970646635,2.33848225325346,42,23,0.65,0.35
48,1014,Rivoli - Musée du Louvre,92,24,"48.86364636851945,2.33409583568573",48.86364636851945,2.33409583568573,13,11,0.54,0.46
49,1015,Place André Malraux,50,19,"48.86392515872666,2.3356226831674576",48.86392515872666,2.3356226831674576,0,0,,
50,10151,Gare du Nord - Faubourg Saint-Denis,150,28,"48.879612765503616,2.3568402975797653",48.879612765503616,2.3568402975797653,3,15,0.17,0.83
51,10152,Gare du Nord - Place de Valenciennes,-26,25,"48.879089,2.354235",48.879089,2.354235,3,8,0.27,0.73
52,10153,Gare du Nord - Denain,24,20,"48.879595787608096,2.3544725775718693",48.879595787608096,2.3544725775718693,2,4,0.33,0.67
53,1016,Thérèse - Opéra,116,25,"48.86648351450895,2.334433421223788",48.86648351450895,2.334433421223788,18,6,0.75,0.25
54,10161,Gare de l'Est - Faubourg-Saint-Martin,-74,32,"48.87564264747718,2.3594588041305546",48.87564264747718,2.3594588041305546,6,13,0.32,0.68
55,10162,Alexandre Parodi - Quai de Valmy,-29,24,"48.87935941942529,2.366596162319184",48.87935941942529,2.366596162319184,8,4,0.67,0.33
56,10163,Gare du Nord - Demarquay,0,30,"48.881154,2.358411",48.881154,2.358411,0,1,0.0,1.0
57,10164,Claude Vellefaux - Sambre et Meuse,-77,34,"48.875022,2.370478",48.875022,2.370478,2,0,1.0,0.0
58,10165,Gare de l'Est - Place du 11 Novembre 1918,25,40,"48.876327,2.3585464",48.876327,2.3585464,4,14,0.22,0.78
59,10166,Strasbourg - Saint-Denis,69,16,"48.86960164243346,2.35429085791111",48.86960164243346,2.35429085791111,7,2,0.78,0.22
60,1017,Saint-Honoré - 29 juillet,121,20,"48.86557114282421,2.330567417577153",48.86557114282421,2.330567417577153,13,6,0.68,0.32
61,1018,Alger - Rivoli,116,21,"48.86477355349535,2.329449393612793",48.86477355349535,2.329449393612793,6,11,0.35,0.65
62,1020,Cambon - Rivoli,132,40,"48.866143390992,2.3251800647136633",48.866143390992,2.3251800647136633,23,8,0.74,0.26
63,10201,Magenta - Chabrol,96,24,"48.876495350882045,2.3560990020632744",48.876495350882045,2.3560990020632744,5,6,0.45,0.55
64,1021,Halles - Bourdonnais,92,20,"48.86044899257468,2.3460162431001663",48.86044899257468,2.3460162431001663,12,8,0.6,0.4
65,1022,Danielle Casanova - Place Vendôme,107,37,"48.86826649822326,2.3304839059710503",48.86826649822326,2.3304839059710503,18,16,0.53,0.47
66,1023,Saint-Honoré - Musée du Louvre,4,22,"48.86344313284792,2.3348781846405102",48.86344313284792,2.3348781846405102,17,1,0.94,0.06
67,1024,Coquillière - Louvre,13,21,"48.86379590966231,2.3425736278295517",48.86379590966231,2.3425736278295517,3,13,0.19,0.81
68,1025,Oratoire - Rivoli,22,18,"48.861342760889265,2.3400047421455388",48.861342760889265,2.3400047421455388,11,6,0.65,0.35
69,1026,Place du Lieutenant Henri Karcher,52,30,"48.863490871724466,2.3400671035051346",48.863490871724466,2.3400671035051346,22,6,0.79,0.21
70,11001,Richard Lenoir - Place de la Bastille,-69,53,"48.8538327,2.3697222",48.8538327,2.3697222,20,18,0.53,0.47
71,11002,Roquette - Thiéré,245,23,"48.85507930579506,2.3733686318721463",48.85507930579506,2.3733686318721463,12,5,0.71,0.29
72,11003,Keller - La Roquette,117,34,"48.8555508,2.3752778",48.8555508,2.3752778,7,1,0.88,0.12
73,11004,Charonne - Faubourg Saint-Antoine,221,34,"48.85219190969573,2.3740932717919354",48.85219190969573,2.3740932717919354,17,6,0.74,0.26
74,11006,Ledru-Rollin - Place du Père Chaillet,316,37,"48.856433706943704,2.379020587761426",48.856433706943704,2.379020587761426,26,0,1.0,0.0
75,11007,Jean Macé - Faidherbe,78,63,"48.85337548425958,2.3828620836138725",48.85337548425958,2.3828620836138725,44,4,0.92,0.08
76,11009,Boulets - Voltaire,78,24,"48.85218705621031,2.389030158519745",48.85218705621031,2.389030158519745,2,1,0.67,0.33
77,11010,Boulets - Faubourg Saint-Antoine,-71,43,"48.84925926211519,2.391754614194301",48.84925926211519,2.391754614194301,1,5,0.17,0.83
78,11011,Richard Lenoir - Voltaire,195,25,"48.86164273877979,2.3727491497993474",48.86164273877979,2.3727491497993474,3,6,0.33,0.67
79,11012,Montreuil - Voltaire,20,34,"48.85050701184191,2.393075558274471",48.85050701184191,2.393075558274471,2,0,1.0,0.0
80,11014,Place de la Nation - Taillebourg,-330,47,"48.8488408,2.3973043",48.8488408,2.3973043,0,12,0.0,1.0
81,11016,Philippe-Auguste,-88,48,"48.851853488264595,2.393294535577297",48.851853488264595,2.393294535577297,4,10,0.29,0.71
82,11017,Charonne - Bureau,-39,47,"48.854176,2.396093",48.854176,2.396093,1,4,0.2,0.8
83,11018,Saint-Maur - République,-48,38,"48.86418586145509,2.378317415714264",48.86418586145509,2.378317415714264,3,7,0.3,0.7
84,11019,Charonne - Philippe-Auguste,22,32,"48.85560316202584,2.390546390619984",48.85560316202584,2.390546390619984,3,1,0.75,0.25
85,1102,Française - Etienne Marcel,12,37,"48.864053304653766,2.347587011754513",48.864053304653766,2.347587011754513,34,2,0.94,0.06
86,11020,Belfort - Voltaire,25,39,"48.8563358,2.3829901",48.8563358,2.3829901,10,1,0.91,0.09
87,11021,Charonne - Pierre Bayle,25,23,"48.858445054261914,2.39039812238911",48.858445054261914,2.39039812238911,1,1,0.5,0.5
88,11022,Roquette - Auguste Laurent,260,16,"48.858001906023354,2.381797702650783",48.858001906023354,2.381797702650783,10,3,0.77,0.23
89,11023,Saint-Maur - Roquette,50,46,"48.858688774062955,2.383553994571467",48.858688774062955,2.383553994571467,11,4,0.73,0.27
90,11024,Mairie du 11ème,51,51,"48.858925,2.3789759",48.858925,2.3789759,26,1,0.96,0.04
91,11025,Froment - Bréguet,161,43,"48.8570414504784,2.37289470306807",48.8570414504784,2.37289470306807,15,5,0.75,0.25
92,11026,Chemin Vert - Saint-Maur,105,45,"48.86112461407359,2.381299026310444",48.86112461407359,2.381299026310444,0,3,0.0,1.0
93,11027,Saint-Ambroise - Parmentier,-8,38,"48.86214784454763,2.3772348091006275",48.86214784454763,2.3772348091006275,1,4,0.2,0.8
94,11028,Guillaume Bertrand - République,23,38,"48.86382517434147,2.38090637715497",48.86382517434147,2.38090637715497,3,2,0.6,0.4
95,11029,Ménilmontant - Oberkampf,-48,40,"48.8666176586814,2.38301344041578",48.8666176586814,2.38301344041578,0,0,,
96,11030,Oberkampf - République,87,24,"48.865316087070475,2.3761147849099955",48.865316087070475,2.3761147849099955,0,4,0.0,1.0
97,11031,Jacquard - Ternaux,119,39,"48.8646605,2.373162",48.8646605,2.373162,0,2,0.0,1.0
98,11032,Jean-Pierre Timbaud - Vaucouleurs,111,47,"48.867937,2.377885",48.867937,2.377885,0,2,0.0,1.0
99,11033,Bréguet - Sabin,156,33,"48.856931678257446,2.3706749462105408",48.856931678257446,2.3706749462105408,22,10,0.69,0.31
100,11034,Parmentier - Fontaine au Roi,127,48,"48.86787670551736,2.372705978671471",48.86787670551736,2.372705978671471,4,4,0.5,0.5
101,11035,Parmentier - Abel Rabaud,22,52,"48.86921273836114,2.371688821240712",48.86921273836114,2.371688821240712,0,2,0.0,1.0
102,11036,Jules Ferry - Faubourg du Temple Paris,42,58,"48.868397,2.3678933",48.868397,2.3678933,17,7,0.71,0.29
103,11037,Faubourg Du Temple - Republique,123,38,"48.867872484748744,2.3648982158072323",48.867872484748744,2.3648982158072323,24,9,0.73,0.27
104,11038,Temple - Charlot,0,45,"48.86570934379584,2.365273725072355",48.86570934379584,2.365273725072355,38,4,0.9,0.1
105,11039,Richard Lenoir - Jean-Pierre Timbaud,65,36,"48.86580427668637,2.369337074966926",48.86580427668637,2.369337074966926,14,4,0.78,0.22
106,11040,Temple - Jean-Pierre Timbaud,66,36,"48.864465972010244,2.3660597205162053",48.864465972010244,2.3660597205162053,28,4,0.88,0.12
107,11041,Square Saint-Ambroise,-13,43,"48.860934,2.375841",48.860934,2.375841,13,5,0.72,0.28
108,11042,Grand Prieuré - Crussol,48,49,"48.86466062793517,2.369226553182906",48.86466062793517,2.369226553182906,38,7,0.84,0.16
109,11043,Place Pasdeloup,66,21,"48.86265421563133,2.3670325062844237",48.86265421563133,2.3670325062844237,8,10,0.44,0.56
110,11044,Square du Bataclan,-45,20,"48.8633762,2.3711327",48.8633762,2.3711327,8,1,0.89,0.11
111,11046,Place de la République - Voltaire,60,19,"48.86683096894219,2.3654810339212418",48.86683096894219,2.3654810339212418,12,5,0.71,0.29
112,11047,Amelot - Saint-Sébastien,188,30,"48.86114216276092,2.367799618107727",48.86114216276092,2.367799618107727,7,13,0.35,0.65
113,11048,Place Mireille Havet,251,43,"48.850533,2.383756",48.850533,2.383756,10,5,0.67,0.33
114,11101,Charles Delescluze,114,49,"48.85242200848887,2.380632497370243",48.85242200848887,2.380632497370243,39,7,0.85,0.15
115,11102,Alexandre Dumas - Voltaire,16,59,"48.85288867036487,2.389147640809553",48.85288867036487,2.389147640809553,14,5,0.74,0.26
116,11103,Pelée - Alphonse Baudin,58,38,"48.8600265,2.3710541",48.8600265,2.3710541,17,3,0.85,0.15
117,11104,Charonne - Robert et Sonia Delauney,-34,20,"48.85590755596891,2.3925706744194035",48.85590755596891,2.3925706744194035,0,1,0.0,1.0
118,11105,Parmentier - République,-26,50,"48.8644954,2.3750124",48.8644954,2.3750124,0,1,0.0,1.0
119,11107,Faidherbe - Dahomey,119,44,"48.851358329771806,2.383823134795429",48.851358329771806,2.383823134795429,33,6,0.85,0.15
120,11109,Pierre Levée - Fontaine Timbaud,13,23,"48.86632723374305,2.3711163550615306",48.86632723374305,2.3711163550615306,0,1,0.0,1.0
121,11110,Roquette - Folie Regnault,-61,52,"48.859246959155485,2.386553623578705",48.859246959155485,2.386553623578705,4,7,0.36,0.64
122,11111,Léon Frot - Charonne,32,19,"48.854963800335234,2.387217085372007",48.854963800335234,2.387217085372007,11,2,0.85,0.15
123,11112,Jules Vallès - Charonne,133,23,"48.85428437993525,2.384767457842827",48.85428437993525,2.384767457842827,5,2,0.71,0.29
124,11113,Richard Lenoir - Republique,39,58,"48.8667175,2.3692541",48.8667175,2.3692541,23,1,0.96,0.04
125,11114,Ledru-Rollin - Charonne,104,32,"48.85345855607243,2.3772463581947094",48.85345855607243,2.3772463581947094,18,3,0.86,0.14
126,11115,Montreuil - Gonnet,54,24,"48.85050056492107,2.389085628786445",48.85050056492107,2.389085628786445,10,4,0.71,0.29
127,1116,Ventadour - Opéra,93,27,"48.866810653323,2.334388448251871",48.866810653323,2.334388448251871,14,11,0.56,0.44
128,1117,Pont Neuf - Rivoli,-9,26,"48.86008989261731,2.344057559967041",48.86008989261731,2.344057559967041,14,7,0.67,0.33
129,1119,Cossonnerie - Sébastopol,106,24,"48.86132665908402,2.349419631063938",48.86132665908402,2.349419631063938,8,11,0.42,0.58
130,1120,Lavandieres Sainte Opportune - Rivoli,-10,27,"48.85927970247607,2.3466217517852783",48.85927970247607,2.3466217517852783,15,11,0.58,0.42
131,12001,Bastille - Biscornet,96,62,"48.851355779579,2.369220033288",48.851355779579,2.369220033288,40,8,0.83,0.17
132,12002,Lacuée - Lyon,208,16,"48.849268481958404,2.370458543300628",48.849268481958404,2.370458543300628,1,3,0.25,0.75
133,12004,Traversière - Ledru-Rollin,371,34,"48.850735824128805,2.375870111706245",48.850735824128805,2.375870111706245,18,13,0.58,0.42
134,12005,Crozatier - Faubourg Saint-Antoine,302,29,"48.8504400134045,2.37890136621104",48.8504400134045,2.37890136621104,2,2,0.5,0.5
135,12006,Gare de Lyon - Van Gogh,36,51,"48.8438397856433,2.370445024035681",48.8438397856433,2.370445024035681,38,6,0.86,0.14
136,12007,Gare de Lyon - Chalon,79,45,"48.84566619420225,2.3741452395915985",48.84566619420225,2.3741452395915985,29,16,0.64,0.36
137,12008,Hector Malot - Daumesnil,164,54,"48.84693552991762,2.3770876228809357",48.84693552991762,2.3770876228809357,43,5,0.9,0.1
138,12009,Charenton - Diderot,51,18,"48.84617146118711,2.3793068155646324",48.84617146118711,2.3793068155646324,4,4,0.5,0.5
139,12010,Daumesnil - Picpus,16,21,"48.8374688,2.401765",48.8374688,2.401765,0,3,0.0,1.0
140,12011,Charenton - Place du Col Bourgoin,285,35,"48.84486731955409,2.382578935054453",48.84486731955409,2.382578935054453,22,5,0.81,0.19
141,12013,Montgallet - Reuilly,110,16,"48.844291,2.3896481",48.844291,2.3896481,2,3,0.4,0.6
142,12015,Place de la Nation - Picpus,-32,36,"48.84682168154762,2.400113046169281",48.84682168154762,2.400113046169281,1,0,1.0,0.0
143,12016,Saint-Mande - Picpus,17,35,"48.845127728277696,2.4015686296481897",48.845127728277696,2.4015686296481897,0,0,,
144,12017,Saint-Mandé - Docteur Arnold Netter,36,39,"48.84462585769668,2.404946386814118",48.84462585769668,2.404946386814118,19,7,0.73,0.27
145,12018,Saint-Mandé - Fabre d'Eglantine,-39,34,"48.8453579,2.3965022",48.8453579,2.3965022,0,2,0.0,1.0
146,12019,Gare de Reuilly - Picpus,-28,28,"48.84267354116789,2.3972943797707558",48.84267354116789,2.3972943797707558,5,2,0.71,0.29
147,12020,Cours de Vincennes - Soult,-21,45,"48.846918761569306,2.4105220288038254",48.846918761569306,2.4105220288038254,1,5,0.17,0.83
148,12022,Sahel - Général Michel Bizot,-3,33,"48.840872964793355,2.4044444784522057",48.840872964793355,2.4044444784522057,1,0,1.0,0.0
149,12024,Gare de Bercy,59,35,"48.839794573906,2.3826066032052",48.839794573906,2.3826066032052,25,7,0.78,0.22
150,12026,Place Ginette Hamelin,101,51,"48.837853,2.382064",48.837853,2.382064,33,13,0.72,0.28
151,12027,Montgallet - Charenton,82,16,"48.84264777870052,2.386164927813738",48.84264777870052,2.386164927813738,2,0,1.0,0.0
152,12028,Vivaldi - Antoine-Julien Hénard,-35,27,"48.841923663276546,2.389728979467376",48.841923663276546,2.389728979467376,6,2,0.75,0.25
153,12029,Dugommier,-29,55,"48.8388110488154,2.38965779542923",48.8388110488154,2.38965779542923,10,7,0.59,0.41
154,12030,Charenton - Wattignies,101,33,"48.83667579640627,2.391795855555629",48.83667579640627,2.391795855555629,20,4,0.83,0.17
155,12031,Gabriel Lamé,241,36,"48.8351212784276,2.385534569621086",48.8351212784276,2.385534569621086,33,0,1.0,0.0
156,12032,Porte Dorée,179,36,"48.8354337,2.4077132",48.8354337,2.4077132,5,2,0.71,0.29
157,12033,François Truffaut - Saint Emilion,134,66,"48.83372354344807,2.386601903271428",48.83372354344807,2.386601903271428,47,18,0.72,0.28
158,12034,Pirogues de Bercy - Libourne,-5,49,"48.832308,2.38637",48.832308,2.38637,44,5,0.9,0.1
159,12035,Madagascar - Meuniers,70,33,"48.83460464474706,2.3970650508999825",48.83460464474706,2.3970650508999825,4,1,0.8,0.2
160,12036,Reuilly - Place Felix Eboue,-114,42,"48.84030274499962,2.394630398715453",48.84030274499962,2.394630398715453,0,1,0.0,1.0
161,12037,Reuilly - Daumesnil,-124,36,"48.8395385,2.3972516",48.8395385,2.3972516,1,0,1.0,0.0
162,12038,Picpus - Louis Braille,-67,44,"48.839988788911874,2.400525668552064",48.839988788911874,2.400525668552064,0,2,0.0,1.0
163,12039,Général Michel Bizot - Claude Decaen,82,38,"48.83481262982544,2.400927788127704",48.83481262982544,2.400927788127704,14,2,0.88,0.12
164,12040,Porte de Charenton,-86,67,"48.83124010585643,2.3989107459783554",48.83124010585643,2.3989107459783554,0,7,0.0,1.0
165,12041,Bois de Vincennes.,24,60,"48.8338064,2.4132221",48.8338064,2.4132221,5,3,0.62,0.38
166,12043,Daumesnil - Hébrard,100,40,"48.8429,2.38474",48.8429,2.38474,26,3,0.9,0.1
167,12101,Charenton - Prague,166,26,"48.848175129981016,2.376358449431232",48.848175129981016,2.376358449431232,18,2,0.9,0.1
168,12102,Bercy - Traversiére,105,30,"48.846192642574,2.3703800886869",48.846192642574,2.3703800886869,26,1,0.96,0.04
169,12105,Bercy - Villot,275,34,"48.841795009027,2.3767850184816",48.841795009027,2.3767850184816,33,10,0.77,0.23
170,12106,Gare de Lyon - Roland Barthes,34,68,"48.84395729494058,2.3790882155299187",48.84395729494058,2.3790882155299187,50,9,0.85,0.15
171,12107,Diderot - Pierre Bourdan,-20,21,"48.84764862079675,2.3902582749724393",48.84764862079675,2.3902582749724393,13,5,0.72,0.28
172,12108,Bercy.,82,66,"48.839966914994,2.3788625746965",48.839966914994,2.3788625746965,44,19,0.7,0.3
173,12109,Mairie du 12ème,0,30,"48.84085531176338,2.3875549435615544",48.84085531176338,2.3875549435615544,18,5,0.78,0.22
174,12111,Claude Decaen - Cannebière,27,27,"48.83761417037952,2.397253782195704",48.83761417037952,2.397253782195704,1,1,0.5,0.5
175,12112,Charenton - Jardiniers,-34,31,"48.833821772922654,2.394692664106047",48.833821772922654,2.394692664106047,3,5,0.38,0.62
176,12113,Cardinal Lavigerie,-14,46,"48.832934193699835,2.402636749399156",48.832934193699835,2.402636749399156,4,1,0.8,0.2
177,12114,Victor Hugo - Jeanne Jugan,-51,28,"48.843949064031825,2.415081394834419",48.843949064031825,2.415081394834419,2,1,0.67,0.33
178,12115,Porte de Vincennes,-19,33,"48.846454,2.415514",48.846454,2.415514,1,0,1.0,0.0
179,12119,Dom-Pérignon - Gravelle,-67,50,"48.82548157443457,2.4098803102970128",48.82548157443457,2.4098803102970128,3,1,0.75,0.25
180,12120,Lac Daumesnil - Saint-Maurice,-52,50,"48.82774555743318,2.4183654785156246",48.82774555743318,2.4183654785156246,0,5,0.0,1.0
181,12122,Bois de Vincennes - Polygone,-1,51,"48.83544491617421,2.431421081436563",48.83544491617421,2.431421081436563,5,18,0.22,0.78
182,12123,Château de Vincennes,27,52,"48.84423193255657,2.439209537709179",48.84423193255657,2.439209537709179,3,10,0.23,0.77
183,12125,Pyramide - Parc Floral,13,50,"48.837442,2.440452",48.837442,2.440452,27,11,0.71,0.29
184,12126,Gravelle - Route du Bac,-70,51,"48.824407,2.418455",48.824407,2.418455,11,7,0.61,0.39
185,12127,Tremblay - Lac des Minimes,13,48,"48.834131261494356,2.454751655459404",48.834131261494356,2.454751655459404,8,8,0.5,0.5
186,12128,Pyramide - Ecole du Breuil,8,34,"48.82237977153955,2.4586871266365056",48.82237977153955,2.4586871266365056,9,6,0.6,0.4
187,12129,Bois de Vincennes - Porte Jaune,-5,35,"48.838751246689455,2.4605489149689674",48.838751246689455,2.4605489149689674,3,0,1.0,0.0
188,12150,Bastille - Quai de la Rapée,31,27,"48.84682410855044,2.366936467587948",48.84682410855044,2.366936467587948,15,6,0.71,0.29
189,12151,Gare de Lyon - Place Louis Armand,281,60,"48.8455150897939,2.3726498446286",48.8455150897939,2.3726498446286,16,42,0.28,0.72
190,12153,Terroirs de France - Lheureux,61,55,"48.83212027074841,2.388618104159832",48.83212027074841,2.388618104159832,43,10,0.81,0.19
191,12154,Square Georges Melies,53,40,"48.84070239213081,2.409667745232582",48.84070239213081,2.409667745232582,2,4,0.33,0.67
192,12155,Rottembourg - Général Michel Bizot,19,43,"48.83787825992554,2.4044052511453633",48.83787825992554,2.4044052511453633,1,2,0.33,0.67
193,12156,Niger - Soult,-50,24,"48.84369906369085,2.410361237220498",48.84369906369085,2.410361237220498,4,1,0.8,0.2
194,12157,Fabre d'Eglantine - Place de la Nation,-138,68,"48.8471116,2.3956204",48.8471116,2.3956204,1,7,0.12,0.88
195,12161,Diderot - Reuilly,146,44,"48.84720845606067,2.3861273378133774",48.84720845606067,2.3861273378133774,24,8,0.75,0.25
196,12163,Hippodrome Paris-Vincennes,3,42,"48.82048387758518,2.446271181106568",48.82048387758518,2.446271181106568,9,7,0.56,0.44
197,12164,Stade Pershing,3,26,"48.829107826857424,2.458353526890278",48.829107826857424,2.458353526890278,3,6,0.33,0.67
198,13001,Port-Royal - Hôpital du Val-de-Grâce,5,18,"48.8376682728114,2.344813834660711",48.8376682728114,2.344813834660711,3,0,1.0,0.0
199,13002,Arago - Glacière,60,27,"48.83486054775774,2.3445770524322067",48.83486054775774,2.3445770524322067,1,0,1.0,0.0
200,13005,Cordelières - Arago,-23,46,"48.83548071896613,2.348572461702221",48.83548071896613,2.348572461702221,3,1,0.75,0.25
201,13006,Duméril - Jeanne d'Arc,80,40,"48.83815160808658,2.357108449556404",48.83815160808658,2.357108449556404,20,6,0.77,0.23
202,13007,Le Brun - Gobelins,-9,48,"48.835092787823875,2.353468135133752",48.835092787823875,2.353468135133752,2,4,0.33,0.67
203,13008,Place d'Italie - Soeur Rosalie,-414,52,"48.83190852039389,2.3546943448098023",48.83190852039389,2.3546943448098023,2,3,0.4,0.6
204,13009,Auguste Blanqui - Corvisart,-22,26,"48.8300989,2.3502726",48.8300989,2.3502726,0,0,,
205,13010,Place d'Italie - Vincent Auriol,-398,40,"48.83148187446674,2.356755029231863",48.83148187446674,2.356755029231863,0,0,,
206,13011,Hôpital - Campo-Formio,0,16,"48.835405,2.358218",48.835405,2.358218,0,3,0.0,1.0
